DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
SYRIAC_2	syc	I	1209	1	ena	21		ena	1
ARABIC_QURANIC	arb	I	1209	1	ana	21		ana	2
ARABIC_LEBANESE	apc	I	1209	1	ani	21		ani	3
GEEZ	gez	I	1209	1	ana	21		ana	4
TIGRAI	tir	I	1209	1	ane	21		ane	5
AMHARIC_3	amh	I	1209	1	3ne	21		əne	6
HARARI_2	har	I	1209	1	an	21		an	7
MEHRI_2	gdq	I	1209	1	hoh	22		hoh	8
JIBBALI	shv	I	1209	1	he	22	also: he7	he	9
SOQOTRI_2	sqt	I	1209	1	hohon	22		hohon	10
SIWA	siz	I	1209	1	niS	21	also: n3S	niʃ	11
GHADAMES_2	gha	I	1209	1	neS	21		neʃ	12
AHAGGAR	thv	I	1209	1	n3k	21		nək	13
ZENAGA_2	zen	I	1209	1	nik	21		nik	14
QABYLE	kab	I	1209	1	n3k	21		nək	15
HAUSA_3	hau	I	1209	1	na	21		na	16
BOLEWA	bol	I	1209	1	ina	21		ina	17
BEJA_2	bej	I	1209	1	ani	21		ani	18
OROMO	gaz	I	1209	1	ana	21	also: ani	ana	19
DAHALO_2	dal	I	1209	1	a5i	21		aɲi	20
KAFFA	kbr	I	1209	1	ta	24		ta	21
SYRIAC_2	syc	come	1446	66	ty	3		tj	22
ARABIC_QURANIC	arb	come	1446	66	ty	3	also: j7y	tj	23
ARABIC_LEBANESE	apc	come	1446	66	3Za	4		əʒa	24
GEEZ	gez	come	1446	66	mc7	5		mt͡sʔ	25
TIGRAI	tir	come	1446	66	masX~7e	5		masχʔe	26
AMHARIC_3	amh	come	1446	66	m3ta	5		məta	27
MEHRI_2	gdq	come	1446	66	nukaX	6		nukaχ	28
JIBBALI	shv	come	1446	66	nikaX	6		nikaχ	29
SOQOTRI_2	sqt	come	1446	66	gedah	7		ɡedah	30
SIWA	siz	come	1446	66	us	9		us	31
GHADAMES_2	gha	come	1446	66	as	9		as	32
AHAGGAR	thv	come	1446	66	as	9		as	33
ZENAGA_2	zen	come	1446	66	Sed	10		ʃed	34
QABYLE	kab	come	1446	66	as	9		as	35
HAUSA_3	hau	come	1446	66	zo	11		zo	36
BOLEWA	bol	come	1446	66	diNgo	12		diŋɡo	37
BEJA_2	bej	come	1446	66	yit	8	also: i	jit	38
OROMO	gaz	come	1446	66	dufa	13		dufa	39
DAHALO_2	dal	come	1446	66	haX	14		haχ	40
KAFFA	kbr	come	1446	66	wa	8		wa	41
SYRIAC_2	syc	water	948	75	maye	1		maje	42
ARABIC_QURANIC	arb	water	948	75	ma	1		ma	43
ARABIC_LEBANESE	apc	water	948	75	may	1		maj	44
GEEZ	gez	water	948	75	may	1		maj	45
TIGRAI	tir	water	948	75	may	1		maj	46
HARARI_2	har	water	948	75	miy	1		mij	47
MEHRI_2	gdq	water	948	75	Xemuh	1		χemuh	48
JIBBALI	shv	water	948	75	mih	1		mih	49
SOQOTRI_2	sqt	water	948	75	riho	2		riho	50
SIWA	siz	water	948	75	aman	3		aman	51
GHADAMES_2	gha	water	948	75	aman	3		aman	52
AHAGGAR	thv	water	948	75	aman	3		aman	53
ZENAGA_2	zen	water	948	75	aman	3	also: am3nh~	aman	54
QABYLE	kab	water	948	75	aman	3		aman	55
HAUSA_3	hau	water	948	75	ruwa	2		ruwa	56
BOLEWA	bol	water	948	75	3ma	3		əma	57
BEJA_2	bej	water	948	75	yam	3		jam	58
OROMO	gaz	water	948	75	bisan	4		bisan	59
DAHALO_2	dal	water	948	75	ma7a	1		maʔa	60
KAFFA	kbr	water	948	75	aCo	5		at͡ʃo	61
SYRIAC_2	syc	mountain	639	86	tX~ur	53		tχur	62
ARABIC_QURANIC	arb	mountain	639	86	Zabal	54		ʒabal	63
ARABIC_LEBANESE	apc	mountain	639	86	Zabel	54		ʒabel	64
GEEZ	gez	mountain	639	86	dab3r	55		dabər	65
AMHARIC_3	amh	mountain	639	86	t3rara	56		tərara	66
HARARI_2	har	mountain	639	86	sEri	57		sɛri	67
MEHRI_2	gdq	mountain	639	86	karmaym	58		karmajm	68
JIBBALI	shv	mountain	639	86	her	59		her	69
SOQOTRI_2	sqt	mountain	639	86	fedehon	60		fedehon	70
SIWA	siz	mountain	639	86	adrar	62		adrar	71
GHADAMES_2	gha	mountain	639	86	adurar	62		adurar	72
AHAGGAR	thv	mountain	639	86	adrar	62		adrar	73
QABYLE	kab	mountain	639	86	adrar	62		adrar	74
HAUSA_3	hau	mountain	639	86	"duC""e"	63		dut͡ʃʼe	75
BOLEWA	bol	mountain	639	86	guoS3w	64		ɡuoʃəw	76
OROMO	gaz	mountain	639	86	tulu	65		tulu	77
KAFFA	kbr	mountain	639	86	gudo	66		ɡudo	78
SYRIAC_2	syc	sun	1343	72	SemS	1		ʃemʃ	79
ARABIC_QURANIC	arb	sun	1343	72	Sams	1		ʃams	80
ARABIC_LEBANESE	apc	sun	1343	72	Sam3s	1		ʃaməs	81
GEEZ	gez	sun	1343	72	daXay	2		daχaj	82
TIGRAI	tir	sun	1343	72	sX~aXay	2		sχaχaj	83
AMHARIC_3	amh	sun	1343	72	tehay	2	also: s3hay, tay	tehaj	84
HARARI_2	har	sun	1343	72	ir	3		ir	85
MEHRI_2	gdq	sun	1343	72	X3yum	4		χəjum	86
JIBBALI	shv	sun	1343	72	yum	4		jum	87
SOQOTRI_2	sqt	sun	1343	72	Sam	1		ʃam	88
SIWA	siz	sun	1343	72	tfukt	6		tfukt	89
GHADAMES_2	gha	sun	1343	72	isi	7		isi	90
AHAGGAR	thv	sun	1343	72	tafuk	6		tafuk	91
ZENAGA_2	zen	sun	1343	72	t37fukt	6		təʔfukt	92
QABYLE	kab	sun	1343	72	itiZ	8		itiʒ	93
HAUSA_3	hau	sun	1343	72	rana	9		rana	94
BOLEWA	bol	sun	1343	72	futi	10		futi	95
BEJA_2	bej	sun	1343	72	yin	11	also: in	jin	96
OROMO	gaz	sun	1343	72	adu	12		adu	97
KAFFA	kbr	sun	1343	72	abo	13		abo	98
SYRIAC_2	syc	star	1430	74	kawb3b	71		kawbəb	99
ARABIC_QURANIC	arb	star	1430	74	kawkab	71		kawkab	100
ARABIC_LEBANESE	apc	star	1430	74	niZmi	72		niʒmi	101
GEEZ	gez	star	1430	74	kokab	71		kokab	102
TIGRAI	tir	star	1430	74	kokob	71		kokob	103
AMHARIC_3	amh	star	1430	74	kok3b	71		kokəb	104
HARARI_2	har	star	1430	74	tuy	73		tuj	105
MEHRI_2	gdq	star	1430	74	kebkib	71		kebkib	106
JIBBALI	shv	star	1430	74	k3bkeb	71		kəbkeb	107
SOQOTRI_2	sqt	star	1430	74	kibSib	71		kibʃib	108
SIWA	siz	star	1430	74	iri	75		iri	109
GHADAMES_2	gha	star	1430	74	iri	75		iri	110
AHAGGAR	thv	star	1430	74	atri	76		atri	111
ZENAGA_2	zen	star	1430	74	ed3ri	76		edəri	112
QABYLE	kab	star	1430	74	itri	76		itri	113
HAUSA_3	hau	star	1430	74	tauraro	76		tauraro	114
BOLEWA	bol	star	1430	74	janja	77		d͡ʒand͡ʒa	115
BEJA_2	bej	star	1430	74	hayuk	78		hajuk	116
OROMO	gaz	star	1430	74	urji	79		urd͡ʒi	117
KAFFA	kbr	star	1430	74	tojano	80		tod͡ʒano	118
SYRIAC_2	syc	one	1493	11	Xad	72		χad	119
ARABIC_QURANIC	arb	one	1493	11	waXid	72		waχid	120
ARABIC_LEBANESE	apc	one	1493	11	w3Xad	72		wəχad	121
GEEZ	gez	one	1493	11	aXadu	72		aχadu	122
TIGRAI	tir	one	1493	11	Xada	72		χada	123
AMHARIC_3	amh	one	1493	11	and	72		and	124
HARARI_2	har	one	1493	11	aXad	72		aχad	125
MEHRI_2	gdq	one	1493	11	tat	73	also: tayt	tat	126
JIBBALI	shv	one	1493	11	tad	73		tad	127
SOQOTRI_2	sqt	one	1493	11	tad	73		tad	128
SIWA	siz	one	1493	11	3j3n	74		əd͡ʒən	129
GHADAMES_2	gha	one	1493	11	yun	74		jun	130
AHAGGAR	thv	one	1493	11	y3n	74	also: iyan	jən	131
ZENAGA_2	zen	one	1493	11	yu7u	74	also: 3yu7n	juʔu	132
QABYLE	kab	one	1493	11	yiw3n	74		jiwən	133
HAUSA_3	hau	one	1493	11	daya	75		daja	134
BOLEWA	bol	one	1493	11	modi	75		modi	135
BEJA_2	bej	one	1493	11	gar	76	also: gal	ɡar	136
OROMO	gaz	one	1493	11	toko	77		toko	137
DAHALO_2	dal	one	1493	11	watukw~e	77		watukʷe	138
KAFFA	kbr	one	1493	11	iko	78		iko	139
SYRIAC_2	syc	two	1498	12	taren	52		taren	140
ARABIC_QURANIC	arb	two	1498	12	i8nani	51		iθnani	141
ARABIC_LEBANESE	apc	two	1498	12	tneyn	51		tnejn	142
GEEZ	gez	two	1498	12	k3l7e	53		kəlʔe	143
TIGRAI	tir	two	1498	12	k3l3te	53		kələte	144
AMHARIC_3	amh	two	1498	12	hul3t	53		hulət	145
HARARI_2	har	two	1498	12	ko7ot	53		koʔot	146
MEHRI_2	gdq	two	1498	12	deroh	52		deroh	147
JIBBALI	shv	two	1498	12	troh	52		troh	148
SOQOTRI_2	sqt	two	1498	12	tiro	52		tiro	149
SIWA	siz	two	1498	12	s3n	51		sən	150
GHADAMES_2	gha	two	1498	12	s3n	51		sən	151
AHAGGAR	thv	two	1498	12	3sin	51		əsin	152
ZENAGA_2	zen	two	1498	12	Sinan	51		ʃinan	153
QABYLE	kab	two	1498	12	sin	51		sin	154
HAUSA_3	hau	two	1498	12	biyu	54		biju	155
BOLEWA	bol	two	1498	12	bolo	54		bolo	156
BEJA_2	bej	two	1498	12	malo	55		malo	157
OROMO	gaz	two	1498	12	lama	56		lama	158
DAHALO_2	dal	two	1498	12	li	56		li	159
KAFFA	kbr	two	1498	12	guto	57		ɡuto	160
SYRIAC_2	syc	stone	857	77	k3p	82		kəp	161
ARABIC_QURANIC	arb	stone	857	77	XaZar	83		χaʒar	162
ARABIC_LEBANESE	apc	stone	857	77	XaZar	83		χaʒar	163
GEEZ	gez	stone	857	77	3b3n	81		əbən	164
TIGRAI	tir	stone	857	77	3m3ni	81		əməni	165
HARARI_2	har	stone	857	77	un	81		un	166
MEHRI_2	gdq	stone	857	77	cower	84		t͡sower	167
JIBBALI	shv	stone	857	77	fudun	85		fudun	168
SOQOTRI_2	sqt	stone	857	77	oben	81		oben	169
SIWA	siz	stone	857	77	txox3t	87		txoxət	170
GHADAMES_2	gha	stone	857	77	ir3g	88		irəɡ	171
AHAGGAR	thv	stone	857	77	ablal	89		ablal	172
ZENAGA_2	zen	stone	857	77	ti7rg3t	88		tiʔrɡət	173
QABYLE	kab	stone	857	77	adxax	90		adxax	174
HAUSA_3	hau	stone	857	77	"duc""e"	91		dut͡sʼe	175
BOLEWA	bol	stone	857	77	guso	92		ɡuso	176
OROMO	gaz	stone	857	77	daga	93		daɡa	177
KAFFA	kbr	stone	857	77	taqo	94		taqo	178
SYRIAC_2	syc	skin	763	28	meSk	71		meʃk	179
ARABIC_QURANIC	arb	skin	763	28	Zild	73		ʒild	180
ARABIC_LEBANESE	apc	skin	763	28	Zild	73		ʒild	181
GEEZ	gez	skin	763	28	maX3s	74		maχəs	182
TIGRAI	tir	skin	763	28	kw~3rbat	75		kʷərbat	183
AMHARIC_3	amh	skin	763	28	kod3	76		kodə	184
MEHRI_2	gdq	skin	763	28	gEd	73		ɡɛd	185
JIBBALI	shv	skin	763	28	god	73		ɡod	186
SOQOTRI_2	sqt	skin	763	28	gad	73		ɡad	187
SIWA	siz	skin	763	28	il3m	77		iləm	188
GHADAMES_2	gha	skin	763	28	il3m	77		iləm	189
AHAGGAR	thv	skin	763	28	el3m	77		eləm	190
ZENAGA_2	zen	skin	763	28	3j3m	77		əd͡ʒəm	191
QABYLE	kab	skin	763	28	agw~lim	78		aɡʷlim	192
HAUSA_3	hau	skin	763	28	fata	79		fata	193
BOLEWA	bol	skin	763	28	iSi	80		iʃi	194
BEJA_2	bej	skin	763	28	ada	81		ada	195
OROMO	gaz	skin	763	28	goga	82		ɡoɡa	196
DAHALO_2	dal	skin	763	28	gino	83		ɡino	197
KAFFA	kbr	skin	763	28	goko	82	also: goqo	ɡoko	198
SYRIAC_2	syc	fire	221	82	nur	92		nur	199
ARABIC_QURANIC	arb	fire	221	82	nar	92		nar	200
ARABIC_LEBANESE	apc	fire	221	82	nar	92		nar	201
GEEZ	gez	fire	221	82	3sat	91		əsat	202
TIGRAI	tir	fire	221	82	Xawi	93		χawi	203
AMHARIC_3	amh	fire	221	82	3sat	91		əsat	204
HARARI_2	har	fire	221	82	isat	91		isat	205
MEHRI_2	gdq	fire	221	82	siwot	94		siwot	206
JIBBALI	shv	fire	221	82	Sot	94		ʃot	207
SOQOTRI_2	sqt	fire	221	82	Siyat	94		ʃijat	208
SIWA	siz	fire	221	82	t3msi	97		təmsi	209
GHADAMES_2	gha	fire	221	82	ufa	98		ufa	210
AHAGGAR	thv	fire	221	82	temse	97		temse	211
ZENAGA_2	zen	fire	221	82	ozun	99		ozun	212
QABYLE	kab	fire	221	82	tim3s	97		timəs	213
HAUSA_3	hau	fire	221	82	wuta	10		wuta	214
BOLEWA	bol	fire	221	82	w3si	91		wəsi	215
BEJA_2	bej	fire	221	82	n7a	1		nʔa	216
OROMO	gaz	fire	221	82	ibida	2	also: abida	ibida	217
DAHALO_2	dal	fire	221	82	ega	3		eɡa	218
KAFFA	kbr	fire	221	82	qaqo	4		qaqo	219
SYRIAC_2	syc	fish	227	19	nun	11		nun	220
ARABIC_QURANIC	arb	fish	227	19	Xut	13		χut	221
ARABIC_LEBANESE	apc	fish	227	19	nun	11		nun	222
HARARI_2	har	fish	227	19	tulEm	14		tulɛm	223
MEHRI_2	gdq	fish	227	19	cayd	15		t͡sajd	224
JIBBALI	shv	fish	227	19	cod	15		t͡sod	225
SOQOTRI_2	sqt	fish	227	19	sode	15		sode	226
GHADAMES_2	gha	fish	227	19	ulisma	17		ulisma	227
AHAGGAR	thv	fish	227	19	asulm3y	17		asulməj	228
ZENAGA_2	zen	fish	227	19	sijman	17		sid͡ʒman	229
QABYLE	kab	fish	227	19	asl3m	17		asləm	230
HAUSA_3	hau	fish	227	19	kifi	18		kifi	231
BOLEWA	bol	fish	227	19	kirwo	18		kirwo	232
BEJA_2	bej	fish	227	19	asa	19	also: ase	asa	233
OROMO	gaz	fish	227	19	qurtumi	20		qurtumi	234
DAHALO_2	dal	fish	227	19	mb~alabe	21		mbalabe	235
KAFFA	kbr	fish	227	19	haso	19		haso	236
SYRIAC_2	syc	dog	2009	21	kalb	31		kalb	237
ARABIC_QURANIC	arb	dog	2009	21	kalb	31		kalb	238
ARABIC_LEBANESE	apc	dog	2009	21	kal3b	31		kaləb	239
GEEZ	gez	dog	2009	21	kal3b	31		kaləb	240
TIGRAI	tir	dog	2009	21	kalbi	31		kalbi	241
MEHRI_2	gdq	dog	2009	21	mbayl	32		mbajl	242
JIBBALI	shv	dog	2009	21	kob	31		kob	243
SIWA	siz	dog	2009	21	agurz3ni	35		aɡurzəni	244
GHADAMES_2	gha	dog	2009	21	idi	36		idi	245
AHAGGAR	thv	dog	2009	21	eydi	36		ejdi	246
ZENAGA_2	zen	dog	2009	21	idi	36		idi	247
QABYLE	kab	dog	2009	21	aydi	36		ajdi	248
HAUSA_3	hau	dog	2009	21	kare	37		kare	249
BOLEWA	bol	dog	2009	21	kuti	38		kuti	250
BEJA_2	bej	dog	2009	21	yas	39		jas	251
OROMO	gaz	dog	2009	21	sare	40		sare	252
DAHALO_2	dal	dog	2009	21	naXete	41		naχete	253
KAFFA	kbr	dog	2009	21	kuna5	42		kunaɲ	254
SYRIAC_2	syc	louse	1392	22	kalm3t	73		kalmət	255
ARABIC_QURANIC	arb	louse	1392	22	kumal	73		kumal	256
ARABIC_LEBANESE	apc	louse	1392	22	amol	73		amol	257
GEEZ	gez	louse	1392	22	kw~3mal	73		kʷəmal	258
TIGRAI	tir	louse	1392	22	kw3mal	73		kwəmal	259
AMHARIC_3	amh	louse	1392	22	k3mal	73		kəmal	260
HARARI_2	har	louse	1392	22	kumay	73		kumaj	261
MEHRI_2	gdq	louse	1392	22	kenmit	72		kenmit	262
JIBBALI	shv	louse	1392	22	sinit	72		sinit	263
SOQOTRI_2	sqt	louse	1392	22	konum	72		konum	264
SIWA	siz	louse	1392	22	talS3t	75		talʃət	265
GHADAMES_2	gha	louse	1392	22	tal3kt	75		taləkt	266
AHAGGAR	thv	louse	1392	22	tilik	75		tilik	267
ZENAGA_2	zen	louse	1392	22	t3l3kt	75		tələkt	268
QABYLE	kab	louse	1392	22	tilkit	75		tilkit	269
HAUSA_3	hau	louse	1392	22	kw~arkw~ata	76		kʷarkʷata	270
BOLEWA	bol	louse	1392	22	j3Nk3ri	77		d͡ʒəŋkəri	271
BEJA_2	bej	louse	1392	22	tat	78		tat	272
OROMO	gaz	louse	1392	22	injiran	79	pl	ind͡ʒiran	273
DAHALO_2	dal	louse	1392	22	itore	78		itore	274
KAFFA	kbr	louse	1392	22	Cindo	80		t͡ʃindo	275
SYRIAC_2	syc	tree	906	23	ilan	32		ilan	276
ARABIC_QURANIC	arb	tree	906	23	SaZar	33		ʃaʒar	277
ARABIC_LEBANESE	apc	tree	906	23	SaZar	33		ʃaʒar	278
GEEZ	gez	tree	906	23	X3d	31		χəd	279
TIGRAI	tir	tree	906	23	om	34		om	280
HARARI_2	har	tree	906	23	lEfu	35		lɛfu	281
MEHRI_2	gdq	tree	906	23	h3rmayt	36		hərmajt	282
JIBBALI	shv	tree	906	23	heyrom	36		hejrom	283
SOQOTRI_2	sqt	tree	906	23	Sirohom	36		ʃirohom	284
GHADAMES_2	gha	tree	906	23	temdikt	39		temdikt	285
AHAGGAR	thv	tree	906	23	aS3k	40		aʃək	286
ZENAGA_2	zen	tree	906	23	aSa7r	41		aʃaʔr	287
HAUSA_3	hau	tree	906	23	itaCe	42		itat͡ʃe	288
BOLEWA	bol	tree	906	23	Soiwi	43		ʃoiwi	289
OROMO	gaz	tree	906	23	muqa	44		muqa	290
DAHALO_2	dal	tree	906	23	koro	45		koro	291
KAFFA	kbr	tree	906	23	mito	46		mito	292
SYRIAC_2	syc	leaf	628	25	tX~arp	93		tχarp	293
ARABIC_QURANIC	arb	leaf	628	25	warakat	94		warakat	294
ARABIC_LEBANESE	apc	leaf	628	25	wara7a	94		waraʔa	295
GEEZ	gez	leaf	628	25	kw~ac3l	95		kʷat͡səl	296
TIGRAI	tir	leaf	628	25	qw~asX~li	95		qʷasχli	297
AMHARIC_3	amh	leaf	628	25	k3t3l	95		kətəl	298
HARARI_2	har	leaf	628	25	kuti	95		kuti	299
MEHRI_2	gdq	leaf	628	25	cxalfot	96		t͡sxalfot	300
JIBBALI	shv	leaf	628	25	cxiZfot	96		t͡sxiʒfot	301
SOQOTRI_2	sqt	leaf	628	25	saXlifo	96		saχlifo	302
GHADAMES_2	gha	leaf	628	25	t3fra	98		təfra	303
AHAGGAR	thv	leaf	628	25	afraw	98		afraw	304
QABYLE	kab	leaf	628	25	if3r	98		ifər	305
HAUSA_3	hau	leaf	628	25	ga5e	99		ɡaɲe	306
BOLEWA	bol	leaf	628	25	owu	10		owu	307
BEJA_2	bej	leaf	628	25	baya	1		baja	308
OROMO	gaz	leaf	628	25	bala	1		bala	309
DAHALO_2	dal	leaf	628	25	Sabune	2		ʃabune	310
KAFFA	kbr	leaf	628	25	wamo	3		wamo	311
SYRIAC_2	syc	night	1233	92	lely	32		lelj	312
ARABIC_QURANIC	arb	night	1233	92	laylat	32		lajlat	313
ARABIC_LEBANESE	apc	night	1233	92	layl	32		lajl	314
GEEZ	gez	night	1233	92	lelit	32		lelit	315
TIGRAI	tir	night	1233	92	layti	32		lajti	316
AMHARIC_3	amh	night	1233	92	let	32	also: lelit	let	317
HARARI_2	har	night	1233	92	lEyli	32	also: leli	lɛjli	318
MEHRI_2	gdq	night	1233	92	Xacar	33		χat͡sar	319
JIBBALI	shv	night	1233	92	Xac3r	33		χat͡sər	320
SOQOTRI_2	sqt	night	1233	92	hte	34		hte	321
SIWA	siz	night	1233	92	it	37		it	322
GHADAMES_2	gha	night	1233	92	ibed	37		ibed	323
AHAGGAR	thv	night	1233	92	ehod	37		ehod	324
ZENAGA_2	zen	night	1233	92	id	37		id	325
QABYLE	kab	night	1233	92	id	37		id	326
HAUSA_3	hau	night	1233	92	dare	38		dare	327
BOLEWA	bol	night	1233	92	bodi	37		bodi	328
BEJA_2	bej	night	1233	92	hawad	39		hawad	329
OROMO	gaz	night	1233	92	halkan	40		halkan	330
DAHALO_2	dal	night	1233	92	hima	41		hima	331
KAFFA	kbr	night	1233	92	tumo	42		tumo	332
SYRIAC_2	syc	blood	946	30	d3m	81		dəm	333
ARABIC_QURANIC	arb	blood	946	30	dam	81		dam	334
ARABIC_LEBANESE	apc	blood	946	30	dam	81		dam	335
GEEZ	gez	blood	946	30	dam	81		dam	336
TIGRAI	tir	blood	946	30	dam	81		dam	337
AMHARIC_3	amh	blood	946	30	d3m	81		dəm	338
HARARI_2	har	blood	946	30	dEm	81		dɛm	339
MEHRI_2	gdq	blood	946	30	doreh	82		doreh	340
JIBBALI	shv	blood	946	30	dohr	82		dohr	341
SOQOTRI_2	sqt	blood	946	30	dEr	82		dɛr	342
SIWA	siz	blood	946	30	idam3n	81		idamən	343
GHADAMES_2	gha	blood	946	30	demen	81		demen	344
AHAGGAR	thv	blood	946	30	ahni	83		ahni	345
ZENAGA_2	zen	blood	946	30	d3m3nh~	81		dəməⁿʰ	346
QABYLE	kab	blood	946	30	idam3n	81		idamən	347
HAUSA_3	hau	blood	946	30	jini	83		d͡ʒini	348
BOLEWA	bol	blood	946	30	domi	81		domi	349
BEJA_2	bej	blood	946	30	boy	84		boj	350
OROMO	gaz	blood	946	30	diga	85		diɡa	351
KAFFA	kbr	blood	946	30	damo	81		damo	352
SYRIAC_2	syc	full	1429	95	m3le	61		məle	353
ARABIC_QURANIC	arb	full	1429	95	mal7an	61		malʔan	354
ARABIC_LEBANESE	apc	full	1429	95	m3lin	61		məlin	355
GEEZ	gez	full	1429	95	m3lu7	61		məluʔ	356
TIGRAI	tir	full	1429	95	mulu7	61		muluʔ	357
AMHARIC_3	amh	full	1429	95	m3lu	61		məlu	358
HARARI_2	har	full	1429	95	mulu7	61		muluʔ	359
MEHRI_2	gdq	full	1429	95	mila7	61		milaʔ	360
JIBBALI	shv	full	1429	95	miZi7	61		miʒiʔ	361
SOQOTRI_2	sqt	full	1429	95	mili	61		mili	362
SIWA	siz	full	1429	95	Cur	63		t͡ʃur	363
GHADAMES_2	gha	full	1429	95	etkur	63		etkur	364
AHAGGAR	thv	full	1429	95	3tk3r	63		ətkər	365
ZENAGA_2	zen	full	1429	95	tufurt	64		tufurt	366
QABYLE	kab	full	1429	95	aCaran	63		at͡ʃaran	367
HAUSA_3	hau	full	1429	95	Cika	65		t͡ʃika	368
BOLEWA	bol	full	1429	95	gamt	66	also: gw~unt	ɡamt	369
BEJA_2	bej	full	1429	95	atab	67		atab	370
OROMO	gaz	full	1429	95	gutu	68		ɡutu	371
KAFFA	kbr	full	1429	95	Cen	69		t͡ʃen	372
SYRIAC_2	syc	new	1231	96	Xad3t	11		χadət	373
ARABIC_QURANIC	arb	new	1231	96	Zadid	12		ʒadid	374
ARABIC_LEBANESE	apc	new	1231	96	Zdid	12		ʒdid	375
GEEZ	gez	new	1231	96	Xadis	11		χadis	376
TIGRAI	tir	new	1231	96	Xadis	11		χadis	377
AMHARIC_3	amh	new	1231	96	adis	11		adis	378
HARARI_2	har	new	1231	96	Xajis	11		χad͡ʒis	379
MEHRI_2	gdq	new	1231	96	Xeydin	13		χejdin	380
JIBBALI	shv	new	1231	96	odin	13		odin	381
SIWA	siz	new	1231	96	atrar	16		atrar	382
AHAGGAR	thv	new	1231	96	inay	17		inaj	383
ZENAGA_2	zen	new	1231	96	3n3n	17	also: 3y3n	ənən	384
HAUSA_3	hau	new	1231	96	sabo	18		sabo	385
