ID	CONCEPT	DOCULECT	IPA
1	I	ClassicalNahuatl	neʔwaːtl
2	I	TetelcingoNahuatl	naha
3	I	NorthPueblaNahuatl	nehwatl
4	I	MecayapanNahuat	neh
5	I	PajapanNahuat	neha
6	I	JalupaNahuat	nehe
7	I	Pipil	na
8	I	Pochutec	nen
9	I	ProtoAztecan	naha
10	all	ClassicalNahuatl	mochin
11	all	TetelcingoNahuatl	nochiː
12	all	NorthPueblaNahuatl	nochin
13	all	MecayapanNahuat	nochi
14	all	PajapanNahuat	nochi
15	all	JalupaNahuat	muchi
16	all	Pipil	muchi
17	all	Pochutec	nochó
18	all	ProtoAztecan	mochɨm
19	ashes	ClassicalNahuatl	nextli
20	ashes	TetelcingoNahuatl	tlakonextliː
21	ashes	NorthPueblaNahuatl	tlekonextli
22	ashes	MecayapanNahuat	kwaneːx
23	ashes	PajapanNahuat	baneːx
24	ashes	JalupaNahuat	kónexti
25	ashes	Pipil	nexti
26	ashes	Pochutec	noxt
27	ashes	ProtoAztecan	nɨxtlɨ
28	bark	ClassicalNahuatl	eːwatl
29	bark	TetelcingoNahuatl	yewayutl
30	bark	NorthPueblaNahuatl	yewayo
31	bark	MecayapanNahuat	kwakahloːʔ
32	bark	PajapanNahuat	bagahlo
33	bark	JalupaNahuat	sulkoi
34	bark	Pipil	eːwayu
35	bark	ProtoAztecan	ɨwaːyoːtl
36	bite	ClassicalNahuatl	keʔtzom
37	bite	TetelcingoNahuatl	ketzoma
38	bite	NorthPueblaNahuatl	tlankechiya
39	bite	MecayapanNahuat	tankwa
40	bite	PajapanNahuat	tamba
41	bite	Pipil	tankwa
42	bite	ProtoAztecan	kɨhtzoma
43	black	ClassicalNahuatl	tliːltik
44	black	TetelcingoNahuatl	tliltiːk
45	black	NorthPueblaNahuatl	tliltik
46	black	MecayapanNahuat	piːstiʔ
47	black	PajapanNahuat	pistik
48	black	JalupaNahuat	yayák
49	black	Pipil	tiːltik_
50	black	ProtoAztecan	tliːltɨk
51	blood	ClassicalNahuatl	estli
52	blood	TetelcingoNahuatl	yestliː
53	blood	NorthPueblaNahuatl	yestli
54	blood	MecayapanNahuat	esti
55	blood	PajapanNahuat	esti
56	blood	JalupaNahuat	esti
57	blood	Pipil	esti
58	blood	Pochutec	est
59	blood	ProtoAztecan	ɨstlɨ
60	bone	ClassicalNahuatl	omitl
61	bone	TetelcingoNahuatl	miːmiːtetl
62	bone	NorthPueblaNahuatl	ohmitl
63	bone	MecayapanNahuat	omiʔ
64	bone	PajapanNahuat	omit
65	bone	JalupaNahuat	umit
66	bone	Pipil	uːmit
67	bone	Pochutec	ot
68	bone	ProtoAztecan	oːmɨtl
69	burn	ClassicalNahuatl	tlatiaː
70	burn	TetelcingoNahuatl	tlatia
71	burn	NorthPueblaNahuatl	tititza
72	burn	MecayapanNahuat	tatiá
73	burn	PajapanNahuat	tata
74	burn	JalupaNahuat	tati
75	burn	Pipil	tatia
76	burn	Pochutec	tatí
77	burn	ProtoAztecan	tlatɨha
78	claw	ClassicalNahuatl	istetl
79	claw	TetelcingoNahuatl	iste
80	claw	NorthPueblaNahuatl	istn
81	claw	MecayapanNahuat	isti
82	claw	PajapanNahuat	isti
83	claw	JalupaNahuat	isti
84	claw	Pipil	istit
85	claw	Pochutec	oxt
86	claw	ProtoAztecan	ɨstɨ
87	cloud	ClassicalNahuatl	mixtli
88	cloud	TetelcingoNahuatl	mextliː
89	cloud	NorthPueblaNahuatl	mextli
90	cloud	MecayapanNahuat	mixti
91	cloud	PajapanNahuat	miːxti
92	cloud	Pipil	mixti
93	cloud	Pochutec	pixt?
94	cloud	ProtoAztecan	mixtlɨ
95	cold	ClassicalNahuatl	iːtztik
96	cold	TetelcingoNahuatl	itztiːk
97	cold	NorthPueblaNahuatl	itztik
98	cold	MecayapanNahuat	seseːʔ
99	cold	PajapanNahuat	seseːk
100	cold	JalupaNahuat	sesek
101	cold	Pipil	sesek
102	cold	Pochutec	piná
103	cold	ProtoAztecan	sesek
104	come	ClassicalNahuatl	witz
105	come	TetelcingoNahuatl	ibitz
106	come	NorthPueblaNahuatl	witz
107	come	MecayapanNahuat	wiːʔ
108	come	PajapanNahuat	wiːtz
109	come	JalupaNahuat	ñotz
110	come	Pipil	wiːtz
111	come	Pochutec	witz
112	come	ProtoAztecan	wiːtz_
113	die	ClassicalNahuatl	mik
114	die	TetelcingoNahuatl	miːkiː
115	die	NorthPueblaNahuatl	miki
116	die	MecayapanNahuat	miki
117	die	PajapanNahuat	migi
118	die	JalupaNahuat	miki
119	die	Pipil	miki
120	die	Pochutec	mok
121	die	ProtoAztecan	mɨki
122	dog	ClassicalNahuatl	chichi
123	dog	TetelcingoNahuatl	chiːchiːtu
124	dog	NorthPueblaNahuatl	chichi
125	dog	MecayapanNahuat	peːlo_
126	dog	PajapanNahuat	pelo_
127	dog	JalupaNahuat	chuchu
128	dog	Pipil	peːlu_
129	dog	Pochutec	tachóm
130	drink	ClassicalNahuatl	oniː_
131	drink	TetelcingoNahuatl	oni
132	drink	NorthPueblaNahuatl	oni
133	drink	MecayapanNahuat	oniá
134	drink	PajapanNahuat	oni
135	drink	JalupaNahuat	xik
136	drink	Pipil	uni
137	drink	Pochutec	temí_
138	drink	ProtoAztecan	ihi
139	dry	ClassicalNahuatl	waːkki
140	dry	TetelcingoNahuatl	wahkiː
141	dry	NorthPueblaNahuatl	wahki
142	dry	MecayapanNahuat	waːktoʔ
143	dry	PajapanNahuat	waːktok
144	dry	JalupaNahuat	waktuk
145	dry	Pipil	waːktuk
146	dry	Pochutec	wak
147	dry	ProtoAztecan	waːk
148	ear	ClassicalNahuatl	nakastli
149	ear	TetelcingoNahuatl	nakas
150	ear	NorthPueblaNahuatl	nakas
151	ear	MecayapanNahuat	nakas
152	ear	PajapanNahuat	nagas
153	ear	JalupaNahuat	nakas
154	ear	Pipil	nakas
155	ear	Pochutec	nekést
156	ear	ProtoAztecan	nakastlɨ
157	earth	ClassicalNahuatl	tlaːlli
158	earth	TetelcingoNahuatl	tlöliː
159	earth	NorthPueblaNahuatl	tlali
160	earth	MecayapanNahuat	taːhli
161	earth	PajapanNahuat	taːhli
162	earth	JalupaNahuat	tahli
163	earth	Pipil	taːl
164	earth	Pochutec	tal
165	earth	ProtoAztecan	tlaːllɨ
166	eat	ClassicalNahuatl	kwaː
167	eat	TetelcingoNahuatl	kwa
168	eat	NorthPueblaNahuatl	kwa
169	eat	MecayapanNahuat	kwa
170	eat	PajapanNahuat	baː
171	eat	JalupaNahuat	bwaː
172	eat	Pipil	kwa
173	eat	Pochutec	kwa
174	eat	ProtoAztecan	kwahaː
175	egg	ClassicalNahuatl	toːtoltetl
176	egg	TetelcingoNahuatl	tutoltetl
177	egg	NorthPueblaNahuatl	totoltetl
178	egg	MecayapanNahuat	teksis
179	egg	PajapanNahuat	teksis
180	egg	JalupaNahuat	piltzin
181	egg	Pipil	teksisti
182	egg	Pochutec	titót
183	eye	ClassicalNahuatl	iːxteloloʔ
184	eye	TetelcingoNahuatl	ixtelolo
185	eye	NorthPueblaNahuatl	ixtelolo
186	eye	MecayapanNahuat	iːx
187	eye	PajapanNahuat	iːxtololo
188	eye	JalupaNahuat	iːx
189	eye	Pipil	iːx
190	eye	Pochutec	ixtotolút
191	eye	ProtoAztecan	iːx
192	grease	ClassicalNahuatl	chiyaːwistli
193	grease	TetelcingoNahuatl	manteka_
194	grease	NorthPueblaNahuatl	chiaktli
195	grease	MecayapanNahuat	tomahka_
196	grease	PajapanNahuat	mantega_
197	grease	JalupaNahuat	manteka_
198	feather	ClassicalNahuatl	ihwitl
199	feather	TetelcingoNahuatl	tohmitl_
200	feather	NorthPueblaNahuatl	ihwitl
201	feather	MecayapanNahuat	tzohmiʔ
202	feather	PajapanNahuat	tzohmit
203	feather	JalupaNahuat	iyuhwiyu
204	feather	Pipil	uhmiyu
205	feather	ProtoAztecan	ɨ?wɨ
206	fire	ClassicalNahuatl	tletl
207	fire	TetelcingoNahuatl	tletzintliː
208	fire	NorthPueblaNahuatl	tletl
209	fire	MecayapanNahuat	tiʔti
210	fire	PajapanNahuat	tit
211	fire	JalupaNahuat	tit
212	fire	Pipil	tiːt
213	fire	Pochutec	tet
214	fire	ProtoAztecan	tlahitl
215	fish	ClassicalNahuatl	michin
216	fish	TetelcingoNahuatl	miːchiː
217	fish	NorthPueblaNahuatl	michi
218	fish	MecayapanNahuat	toːpoh
219	fish	PajapanNahuat	toːpoh
220	fish	JalupaNahuat	xeːneh
221	fish	Pipil	michin
222	fish	Pochutec	michóm
223	fish	ProtoAztecan	mɨchɨm
224	foot	ClassicalNahuatl	kxitl
225	foot	TetelcingoNahuatl	ikxiː
226	foot	NorthPueblaNahuatl	ikxi
227	foot	MecayapanNahuat	ikxi
228	foot	PajapanNahuat	ikxi
229	foot	JalupaNahuat	ikxi
230	foot	Pipil	kxi
231	foot	Pochutec	no
232	foot	ProtoAztecan	ɨkxɨ
233	full	ClassicalNahuatl	teːntok
234	full	TetelcingoNahuatl	tientiːka
235	full	NorthPueblaNahuatl	tentok
236	full	MecayapanNahuat	teːntoʔ
237	full	PajapanNahuat	teːntok
238	full	JalupaNahuat	neːtik
239	full	Pipil	teːntuk
240	full	ProtoAztecan	teːntok
241	give	ClassicalNahuatl	maka
242	give	TetelcingoNahuatl	maka
243	give	NorthPueblaNahuatl	maka
244	give	MecayapanNahuat	maka
245	give	PajapanNahuat	maga
246	give	JalupaNahuat	ma
247	give	Pipil	maka
248	give	Pochutec	meká
249	give	ProtoAztecan	maka
250	good	ClassicalNahuatl	kwalli
251	good	TetelcingoNahuatl	kwaliː
252	good	NorthPueblaNahuatl	kwali
253	good	MecayapanNahuat	yeːkti
254	good	PajapanNahuat	yekti
255	good	JalupaNahuat	yekti
256	good	Pipil	yeːk
257	good	Pochutec	ulík_
258	good	ProtoAztecan	yeːktlɨ
259	good	ClassicalNahuatl	yektli
260	good	ProtoAztecan	yeːktlɨ
261	green	ClassicalNahuatl	xoxoktik
262	green	TetelcingoNahuatl	xoxoktiːk
263	green	NorthPueblaNahuatl	xoxoktik
264	green	MecayapanNahuat	xoxoktiʔ
265	green	PajapanNahuat	xoxoktik
266	green	JalupaNahuat	xuxuík
267	green	Pipil	xuxuwik
268	green	Pochutec	xwi
269	hair	ClassicalNahuatl	tzontli
270	hair	TetelcingoNahuatl	tzontliː
271	hair	NorthPueblaNahuatl	tzontli
272	hair	MecayapanNahuat	tzonkal
273	hair	PajapanNahuat	tzongal
274	hair	JalupaNahuat	tzunti
275	hair	Pipil	tzunkal
276	hair	Pochutec	tzon
277	hair	ProtoAztecan	tzom
278	hand	ClassicalNahuatl	maː
279	hand	TetelcingoNahuatl	mö
280	hand	NorthPueblaNahuatl	man
281	hand	MecayapanNahuat	mayiʔ
282	hand	PajapanNahuat	maː
283	hand	JalupaNahuat	maːn
284	hand	Pipil	mey
285	hand	Pochutec	maí
286	hand	ProtoAztecan	mah
287	head	ClassicalNahuatl	kwaːtl
288	head	TetelcingoNahuatl	tzonteko
289	head	NorthPueblaNahuatl	tzonteko
290	head	MecayapanNahuat	tzontekon
291	head	PajapanNahuat	tzontegon
292	head	JalupaNahuat	tzuntekon
293	head	Pipil	tzuntekumat
294	head	Pochutec	kwaít
295	head	ProtoAztecan	kwah
296	hear	ClassicalNahuatl	kak
297	hear	TetelcingoNahuatl	kakiː
298	hear	NorthPueblaNahuatl	kaki
299	hear	MecayapanNahuat	kaki
300	hear	PajapanNahuat	gagi
301	hear	JalupaNahuat	kai
302	hear	Pipil	kaːki
303	hear	Pochutec	kekí
304	hear	ProtoAztecan	kaki
305	heart	ClassicalNahuatl	yoːlli
306	heart	TetelcingoNahuatl	yulohtliː
307	heart	NorthPueblaNahuatl	yolo
308	heart	MecayapanNahuat	yaːlmah_
309	heart	PajapanNahuat	alma_
310	heart	JalupaNahuat	yuhlu
311	heart	Pipil	yul
312	heart	Pochutec	n
313	heart	ProtoAztecan	yoːl
314	horn	ClassicalNahuatl	kwaːkwawtl
315	horn	NorthPueblaNahuatl	kwakow
316	horn	MecayapanNahuat	kwaːkwa
317	horn	PajapanNahuat	baːbaː
318	horn	JalupaNahuat	kokoit
319	horn	Pipil	kachoh_
320	kill	ClassicalNahuatl	mikiːtiaː
321	kill	TetelcingoNahuatl	miːktiːa
322	kill	NorthPueblaNahuatl	miktia
323	kill	MecayapanNahuat	miktia
324	kill	PajapanNahuat	miktia
325	kill	JalupaNahuat	mikti
326	kill	Pipil	miktia
327	kill	Pochutec	moktí
328	kill	ProtoAztecan	mɨktɨha
329	knee	ClassicalNahuatl	tlankwai
330	knee	TetelcingoNahuatl	tlankwate
331	knee	NorthPueblaNahuatl	tlankwa
332	knee	MecayapanNahuat	tankwaːʔ
333	knee	PajapanNahuat	tamba
334	knee	JalupaNahuat	tambwan
335	knee	Pipil	tewahka
336	knee	ProtoAztecan	tlankwah
337	know	ClassicalNahuatl	mat
338	know	TetelcingoNahuatl	matiː
339	know	NorthPueblaNahuatl	mati
340	know	MecayapanNahuat	mati
341	know	PajapanNahuat	mati
342	know	JalupaNahuat	ma
343	know	Pipil	mati
344	know	Pochutec	metí
345	know	ProtoAztecan	mati
346	leaf	ClassicalNahuatl	iswatl
347	leaf	TetelcingoNahuatl	xiːbiːtl
348	leaf	NorthPueblaNahuatl	xiwitl
349	leaf	MecayapanNahuat	iswaʔ
350	leaf	PajapanNahuat	iswat
351	leaf	JalupaNahuat	iswat
352	leaf	Pipil	iswat
353	leaf	Pochutec	xut
354	leaf	ProtoAztecan	ɨswatl
355	lie	ClassicalNahuatl	moteːka
356	lie	TetelcingoNahuatl	motieka
357	lie	NorthPueblaNahuatl	moteka
358	lie	MecayapanNahuat	moteːca
359	lie	PajapanNahuat	motega
360	lie	JalupaNahuat	murekak_
361	lie	Pipil	muteːka
362	lie	Pochutec	teké
363	lie	ProtoAztecan	moteːka
364	liver	ClassicalNahuatl	eːlli
365	liver	NorthPueblaNahuatl	yeltlapach
366	liver	MecayapanNahuat	yoːl
367	liver	Pipil	eltapach
368	long	ClassicalNahuatl	weːiyak
369	long	TetelcingoNahuatl	beyak
370	long	NorthPueblaNahuatl	weyak
371	long	MecayapanNahuat	weːyaktiʔ
372	long	PajapanNahuat	weːyak
373	long	JalupaNahuat	weyak
374	long	Pipil	weyak
375	long	ProtoAztecan	weheyak
376	louse	ClassicalNahuatl	atemitl
377	louse	TetelcingoNahuatl	atiːmiːtl
378	louse	NorthPueblaNahuatl	pioho_
379	louse	MecayapanNahuat	atimiʔ
380	louse	PajapanNahuat	aːtin
381	louse	JalupaNahuat	aːtin
382	louse	Pipil	atimet
383	louse	Pochutec	atómt
384	louse	ProtoAztecan	atɨmɨtl
385	man	ClassicalNahuatl	taːkatl
386	man	TetelcingoNahuatl	umbre_
387	man	NorthPueblaNahuatl	tlakatl
388	man	MecayapanNahuat	taːgaʔ
389	man	PajapanNahuat	taːgat
390	man	JalupaNahuat	taːkat
391	man	Pipil	taːkat
392	man	Pochutec	okóxt
393	man	ProtoAztecan	tlaːkatl
394	many	ClassicalNahuatl	miakiːn
395	many	TetelcingoNahuatl	meyak
396	many	NorthPueblaNahuatl	miak
397	many	MecayapanNahuat	miaʔ_
398	many	PajapanNahuat	miak_
399	many	JalupaNahuat	miakpa_
400	many	Pipil	miyak_
401	many	Pochutec	asók_
402	many	ProtoAztecan	mɨyak
403	meat	ClassicalNahuatl	nakatl
404	meat	TetelcingoNahuatl	nakatl
405	meat	NorthPueblaNahuatl	nakatl
